Item #,Designator,Comment,Footprint,#Column Name Error:Manufacturer,Description,S.Description,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Currency 1,Supplier Stock 1,Supplier Part Number 1,Divider,Quantity,Supplier Order Qty 1,adjusted QTY,Supplier Unit Price 1,Adjusted Supplier Subtotal 1,Item #
1,C1,22pF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 22pF 50volts C0G 5%,Murata Electronics,GRM1885C1H220JA01D,Mouser,EUR,210123,81-GRM39C220J50,1,1,25,25,€0.03,€0.75,1
2,C11,0.011F,SUPERCAP  PAS3225P3R3113,,,Supercapacitors / Ultracapacitors SUPER CAP 3.3V 0.011F,Taiyo Yuden,PAS3225P3R3113,Mouser,EUR,6237,963-PAS3225P3R3113,1,1,25,25,€1.60,€40.00,2
3,"C2, C3, C4, C5, C12",100nF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.1uF 10% X7R,AVX,06035C104KAT2A,Mouser,EUR,483363,581-06035C104KAT2A,1,5,125,125,€0.03,€3.38,3
4,"C7, C9",7pF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 22pF 50volts C0G 5%,Murata Electronics,GRM1885C1H220JA01D,Mouser,EUR,210123,81-GRM39C220J50,1,2,50,50,€0.03,€1.50,4
5,"C8, C10",1uF/MLCC,0603_CAP,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1.0uF 16volts X7R 10%,Murata Electronics,GCM188R71C105KA64D,Mouser,EUR,197098,81-GCM188R71C105K64D,1,2,50,50,€0.15,€7.55,5
6,D1,NSR20F30NXT5G,0603_DIODE-CASE_152AB,,DIODE,Schottky Diodes & Rectifiers 0603 FC SCHOTTKY DIODES,ON Semiconductor,NSR20F30NXT5G,Mouser,EUR,32441,863-NSR20F30NXT5G,1,1,25,25,€0.34,€8.38,6
7,"D2, D3, D4, D5, D6, D7",NSR20F30NXT5G,0603_DIODE-CDSU101A,,DIODE,Schottky Diodes & Rectifiers 0603 FC SCHOTTKY DIODES,ON Semiconductor,NSR20F30NXT5G,Mouser,EUR,32441,863-NSR20F30NXT5G,1,6,150,150,€0.19,€27.90,7
8,JP1,USB-MINI-B,USB-MINI-B-HIR-UX60A-MB-5ST,,,USB Connectors MINI B RECEPT RA SMT W/O POST,Hirose Connector,UX60A-MB-5ST,Mouser,EUR,8920,798-UX60A-MB-5ST,1,1,25,25,€0.69,€17.18,8
9,JP2,Header 5X2 1.27mm,2x5-1.27mm-HARWIN-855-M50-3600542,,"Header, 5-Pin, Dual row",Headers & Wire Housings 5+5 DIL PIN HDR SMT Au/Sn,Harwin,M50-3600542,Mouser,EUR,9321,855-M50-3600542,1,1,25,25,€0.87,€21.85,9
10,"R3, R4, R8, R13",10K,0603_res,,RESISTOR,Thick Film Resistors - SMD 0603 10Kohms 1% Tol,Panasonic,ERJ-3EKF1002V,Mouser,EUR,1844557,667-ERJ-3EKF1002V,1,4,100,100,€0.01,€0.80,10
