CODE,Quantity,Designator,Comment

"","1","B2","N-GMS"
"","1","C1","22pF"
"[NoParam], [NoParam], [NoParam], [NoParam], [NoValue], 267-104","6","C2, C3, C4, C5, C12, C15","100nF"
"267-180","1","C6","18pF"
"","2","C7, C9","7pF"
"","2","C8, C10","1uF/MLCC"
"","1","C11","0.011F"
"","1","C14","10uF/MLCC"
"","1","D1","NSR20F30NXT5G"
"605-020","6","D2, D3, D4, D5, D6, D7","NSR20F30NXT5G"
"","1","JP1","USB-MINI-B"
"","1","JP2","Header 5X2 1.27mm"
"","1","JP3","HEADER-2"
"","1","JP4","HEADER_5"
"621-180","1","LD1","LED_RED"
"621-190","1","LD2","LED_GRN"
"621-190","1","LD3","LED_BLU"
"415-103","8","R1, R2, R3, R4, R5, R7, R8, R13","10K"
"4??-???","1","R6","18K"
"","2","R9, R10","0R"
"415-471","1","R11","620R"
"415-471","2","R12, R14","470R"
"","3","SW1, SW2, SW3","EVQ-P2202M"
"","1","U1","LPC11U68JBD48"
"","1","U2","TPS78233"
"","1","U3","N-NODE24-20pin"
"","1","Y1","FC135-32.76KAA3"
"","1","Y2","12MHz/10pF"
